Added,Category,External Link,Framework,Domain,Practice,Title,Description,XML Definition
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#ip-address-assignment,OMB,Network Device Infrastructure,VPN Gateway,IP Address Assignment - Trend of Number of Events,IP Address Assignment - Trend of Number of Events,"<panel>
  <chart>
        <title>IP Address Assignment - Trend of Number of Events</title>
        <search>
          <query>| tstats count as events from datamodel=IP_Address_Assignment_Data_Inventory.IP_Address_Assignment by _time
| timechart sum(events)</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""charting.chart"">line</option>
        <option name=""charting.drilldown"">none</option>
        <option name=""refresh.display"">progressbar</option>
  </chart>
</panel>
<panel>
  <single>
  <title>IP Address Assignment - Trend of Number of Events</title>
  <search>
  <query>| tstats count as events from datamodel=IP_Address_Assignment_Data_Inventory.IP_Address_Assignment by _time
 | chart sum(events) over _time</query>
  <earliest>$time_tok.earliest$</earliest>
  <latest>$time_tok.latest$</latest>
  </search>
  <option name=""drilldown"">none</option>
  <option name=""refresh.display"">progressbar</option>
  </single>
  </panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#network-communication,OMB,Network Device Infrastructure,VPN Gateway,Network Communication - Basic Traffic Logs - Data Inventory,Network Communication - Basic Traffic Logs - Data Inventory,"<panel>
      <table>
        <title>Network Communication - Basic Traffic Logs - Data Inventory</title>
        <search>
          <query>| tstats count from datamodel=Network_Communication_Data_Inventory.Network_Communication where nodename=Network_Communication.Basic_Traffic_Logs by index, sourcetype
| join index
    [| rest /services/admin/indexes
    | eval frozenTimePeriodInDays=frozenTimePeriodInSecs/60/60/24
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | eval ""Retention Cold""=round(frozenTimePeriodInDays/30,0)
    | eval ""Retention Warm""=round(maxHotSpanDays/30,0)
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | rename title as index
    | table index,""Retention Cold"" ""Retention Warm""]
| eval RetentionWarmStatus=if('Retention Warm'&gt;12,""Good"",""Poor"")
| eval RetentionColdStatus=if('Retention Cold'&gt;(18+12),""Good"",""Poor"")
| eval DataSourceCoverageStatus=if((count &gt; 0), ""Good"",""Poor"")
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| foreach *Status
    [| eval StatusScore=StatusScore+case('&lt;&lt;FIELD&gt;&gt;'=""Good"", 1,'&lt;&lt;FIELD&gt;&gt;'=""Mixed"", 0.5,'&lt;&lt;FIELD&gt;&gt;'=""Poor"",0, 1=1,0)
    | eval StatusScoreMax=StatusScoreMax+1
    | eval StatusComment=mvappend(StatusComment,
        case(
        '&lt;&lt;FIELD&gt;&gt;'=""Good"", null(),
        ""&lt;&lt;FIELD&gt;&gt;""=""DataSourceCoverageStatus"",""• Data Source \""""+data_source_category+""\"" is missing data."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionWarmStatus"",""• Index \""""+index+""\"" has only ""+'Retention Warm'+"" months warm retention."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionColdStatus"",""• Index \""""+index+""\"" has only ""+'Retention Cold'+"" months cold retention.""
        ))
        ]
| rename DataSourceCoverageStatus AS ""Data Coverage"", RetentionWarmStatus AS ""Warm Retention"", RetentionColdStatus AS ""Cold Retention"", data_source_category AS ""Data Source"", StatusComment AS ""Comment"", count as ""Number of Events""
| table sourcetype, ""Number of Events"", ""Data Coverage"" ""Warm Retention"" ""Cold Retention"" Comment</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""drilldown"">none</option>
      </table>
    </panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#application-data,OMB,PKI Infrastructure,All Events Related,Application Data - Application Logs - Data Inventory,Application Data - Application Logs - Data Inventory,"<panel>
      <table>
        <title>Application Data - Application Logs - Data Inventory</title>
        <search>
          <query>| tstats count from datamodel=Application_Data_Inventory.Application_Data  where nodename=Application_Data.Application_Logs by index, sourcetype
| join index
    [| rest /services/admin/indexes
    | eval frozenTimePeriodInDays=frozenTimePeriodInSecs/60/60/24
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | eval ""Retention Cold""=round(frozenTimePeriodInDays/30,0)
    | eval ""Retention Warm""=round(maxHotSpanDays/30,0)
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | rename title as index
    | table index,""Retention Cold"" ""Retention Warm""]
| eval RetentionWarmStatus=if('Retention Warm'&gt;12,""Good"",""Poor"")
| eval RetentionColdStatus=if('Retention Cold'&gt;(18+12),""Good"",""Poor"")
| eval DataSourceCoverageStatus=if((count &gt; 0), ""Good"",""Poor"")
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| foreach *Status
    [| eval StatusScore=StatusScore+case('&lt;&lt;FIELD&gt;&gt;'=""Good"", 1,'&lt;&lt;FIELD&gt;&gt;'=""Mixed"", 0.5,'&lt;&lt;FIELD&gt;&gt;'=""Poor"",0, 1=1,0)
    | eval StatusScoreMax=StatusScoreMax+1
    | eval StatusComment=mvappend(StatusComment,
        case(
        '&lt;&lt;FIELD&gt;&gt;'=""Good"", null(),
        ""&lt;&lt;FIELD&gt;&gt;""=""DataSourceCoverageStatus"",""• Data Source \""""+data_source_category+""\"" is missing data."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionWarmStatus"",""• Index \""""+index+""\"" has only ""+'Retention Warm'+"" months warm retention."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionColdStatus"",""• Index \""""+index+""\"" has only ""+'Retention Cold'+"" months cold retention.""
        ))
        ]
| rename DataSourceCoverageStatus AS ""Data Coverage"", RetentionWarmStatus AS ""Warm Retention"", RetentionColdStatus AS ""Cold Retention"", data_source_category AS ""Data Source"", StatusComment AS ""Comment"", count as ""Number of Events""
| table sourcetype, ""Number of Events"", ""Data Coverage"" ""Warm Retention"" ""Cold Retention"" Comment</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""drilldown"">none</option>
      </table>
    </panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#vulnerability-detection,OMB,Vulnerability Assessments,Vulnerability Assessments,Vulnerability Detection - Vulnerability Detected - Trend of Number of Events,Trend of Number of Events,"<panel>
      <chart>
        <title>Vulnerability Detection - Vulnerability Detected - Trend of Number of Events</title>
        <search>
          <query>| tstats count as events from datamodel=Vulnerability_Detection_Data_Inventory.Vulnerability_Detection where nodename=Vulnerability_Detection.Vuln_Detected by _time
| timechart sum(events)</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""charting.chart"">line</option>
        <option name=""charting.drilldown"">none</option>
        <option name=""refresh.display"">progressbar</option>
      </chart>
    </panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#vulnerability-detection,OMB,Vulnerability Assessments,Vulnerability Assessments,Vulnerability Detection - Vulnerability Detected - Data Inventory,Vulnerability Detection - Vulnerability Detected - Data Inventory,"<panel>
      <table>
        <title>Vulnerability Detection - Vulnerability Detected - Data Inventory</title>
        <search>
          <query>| tstats count from datamodel=Vulnerability_Detection_Data_Inventory.Vulnerability_Detection where nodename=Vulnerability_Detection.Vuln_Detected by index, sourcetype
| join index
    [| rest /services/admin/indexes
    | eval frozenTimePeriodInDays=frozenTimePeriodInSecs/60/60/24
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | eval ""Retention Cold""=round(frozenTimePeriodInDays/30,0)
    | eval ""Retention Warm""=round(maxHotSpanDays/30,0)
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | rename title as index
    | table index,""Retention Cold"" ""Retention Warm""]
| eval RetentionWarmStatus=if('Retention Warm'&gt;12,""Good"",""Poor"")
| eval RetentionColdStatus=if('Retention Cold'&gt;(18+12),""Good"",""Poor"")
| eval DataSourceCoverageStatus=if((count &gt; 0), ""Good"",""Poor"")
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| foreach *Status
    [| eval StatusScore=StatusScore+case('&lt;&lt;FIELD&gt;&gt;'=""Good"", 1,'&lt;&lt;FIELD&gt;&gt;'=""Mixed"", 0.5,'&lt;&lt;FIELD&gt;&gt;'=""Poor"",0, 1=1,0)
    | eval StatusScoreMax=StatusScoreMax+1
    | eval StatusComment=mvappend(StatusComment,
        case(
        '&lt;&lt;FIELD&gt;&gt;'=""Good"", null(),
        ""&lt;&lt;FIELD&gt;&gt;""=""DataSourceCoverageStatus"",""• Data Source \""""+data_source_category+""\"" is missing data."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionWarmStatus"",""• Index \""""+index+""\"" has only ""+'Retention Warm'+"" months warm retention."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionColdStatus"",""• Index \""""+index+""\"" has only ""+'Retention Cold'+"" months cold retention.""
        ))
        ]
| rename DataSourceCoverageStatus AS ""Data Coverage"", RetentionWarmStatus AS ""Warm Retention"", RetentionColdStatus AS ""Cold Retention"", data_source_category AS ""Data Source"", StatusComment AS ""Comment"", count as ""Number of Events""
| table sourcetype, ""Number of Events"", ""Data Coverage"" ""Warm Retention"" ""Cold Retention"" Comment</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""drilldown"">none</option>
      </table>
    </panel>"
FALSE,OMB_data_inventory,,OMB,Database Level,Database Level,Database Server - Data Inventory,Database Server - Data Inventory,"<panel>
  <table>
  <title>Database Server - Data Inventory</title>
  <search>
  <query>| tstats count from datamodel=Database_Server_Data_Inventory.DatabaseServer by index, sourcetype
 | join index
  [| rest /services/admin/indexes
  | eval frozenTimePeriodInDays=frozenTimePeriodInSecs/60/60/24
  | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
  | eval ""Retention Cold""=round(frozenTimePeriodInDays/30,0)
  | eval ""Retention Warm""=round(maxHotSpanDays/30,0)
  | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
  | rename title as index
  | table index,""Retention Cold"" ""Retention Warm""]
 | eval RetentionWarmStatus=if('Retention Warm'&gt;12,""Good"",""Poor"")
 | eval RetentionColdStatus=if('Retention Cold'&gt;(18+12),""Good"",""Poor"")
 | eval DataSourceCoverageStatus=if((count &gt; 0), ""Good"",""Poor"")
 | eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
 | eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
 | foreach *Status
  [| eval StatusScore=StatusScore+case('&lt;&lt;FIELD&gt;&gt;'=""Good"", 1,'&lt;&lt;FIELD&gt;&gt;'=""Mixed"", 0.5,'&lt;&lt;FIELD&gt;&gt;'=""Poor"",0, 1=1,0)
  | eval StatusScoreMax=StatusScoreMax+1
  | eval StatusComment=mvappend(StatusComment,
  case(
  '&lt;&lt;FIELD&gt;&gt;'=""Good"", null(),
  ""&lt;&lt;FIELD&gt;&gt;""=""DataSourceCoverageStatus"",""• Data Source \""""+data_source_category+""\"" is missing data."",
  ""&lt;&lt;FIELD&gt;&gt;""=""RetentionWarmStatus"",""• Index \""""+index+""\"" has only ""+'Retention Warm'+"" months warm retention."",
  ""&lt;&lt;FIELD&gt;&gt;""=""RetentionColdStatus"",""• Index \""""+index+""\"" has only ""+'Retention Cold'+"" months cold retention.""
  ))
  ]
 | rename DataSourceCoverageStatus AS ""Data Coverage"", RetentionWarmStatus AS ""Warm Retention"", RetentionColdStatus AS ""Cold Retention"", data_source_category AS ""Data Source"", StatusComment AS ""Comment"", count as ""Number of Events""
 | table sourcetype, ""Number of Events"", ""Data Coverage"" ""Warm Retention"" ""Cold Retention"" Comment</query>
  <earliest>$time_tok.earliest$</earliest>
  <latest>$time_tok.latest$</latest>
  </search>
  <option name=""drilldown"">none</option>
  <option name=""refresh.display"">progressbar</option>
  </table>
  </panel>"
FALSE,OMB_data_inventory,,OMB,Database Level,Database Level,Database Server - Trend of Number of Events,Database Server - Trend of Number of Events,"<panel>
      <chart>
        <title>Database Server - Trend of Number of Events</title>
        <search>
          <query>| tstats count as events from datamodel=Database_Server_Data_Inventory.DatabaseServer by _time
| timechart sum(events)</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""charting.chart"">line</option>
        <option name=""charting.drilldown"">none</option>
        <option name=""refresh.display"">progressbar</option>
      </chart>
    </panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#application-data,OMB,Application Level,Web Applications,Application Data - Application Logs - Trend of Number of Events,Application Data - Application Logs - Trend of Number of Events,"<panel>
  <chart>
        <title>Application Data - Application Logs - Trend of Number of Events</title>
        <search>
          <query>| tstats count as events from datamodel=Application_Data_Inventory.Application_Data  where nodename=Application_Data.Application_Logs by _time
| timechart sum(events)</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""charting.chart"">line</option>
        <option name=""charting.drilldown"">none</option>
        <option name=""refresh.display"">progressbar</option>
  </chart>
</panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#web-server,OMB,Application Level,Web Applications,Web Server - Web server access logs - Trend of Number of Events,Web Server - Web server access logs - Trend of Number of Events," <panel>
  <chart>
	<title>Web Server - Web server access logs - Trend of Number of Events</title>
	<search>
	  <query>| tstats count as events from datamodel=Web_Server_Data_Inventory.Web_Server where nodename=Web_Server.Web_server_access_logs by _time
| timechart sum(events)</query>
	  <earliest>$time_tok.earliest$</earliest>
	  <latest>$time_tok.latest$</latest>
	</search>
	<option name=""charting.chart"">line</option>
	<option name=""charting.drilldown"">none</option>
	<option name=""refresh.display"">progressbar</option>
  </chart>
</panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#application-data,OMB,Application Level,Web Applications,Application Data - Application Logs - Data Inventory,Application Data - Application Logs - Data Inventory,"<panel>
      <table>
        <title>Application Data - Application Logs - Data Inventory</title>
        <search>
          <query>| tstats count from datamodel=Application_Data_Inventory.Application_Data  where nodename=Application_Data.Application_Logs by index, sourcetype
| join index
    [| rest /services/admin/indexes
    | eval frozenTimePeriodInDays=frozenTimePeriodInSecs/60/60/24
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | eval ""Retention Cold""=round(frozenTimePeriodInDays/30,0)
    | eval ""Retention Warm""=round(maxHotSpanDays/30,0)
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | rename title as index
    | table index,""Retention Cold"" ""Retention Warm""]
| eval RetentionWarmStatus=if('Retention Warm'&gt;12,""Good"",""Poor"")
| eval RetentionColdStatus=if('Retention Cold'&gt;(18+12),""Good"",""Poor"")
| eval DataSourceCoverageStatus=if((count &gt; 0), ""Good"",""Poor"")
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| foreach *Status
    [| eval StatusScore=StatusScore+case('&lt;&lt;FIELD&gt;&gt;'=""Good"", 1,'&lt;&lt;FIELD&gt;&gt;'=""Mixed"", 0.5,'&lt;&lt;FIELD&gt;&gt;'=""Poor"",0, 1=1,0)
    | eval StatusScoreMax=StatusScoreMax+1
    | eval StatusComment=mvappend(StatusComment,
        case(
        '&lt;&lt;FIELD&gt;&gt;'=""Good"", null(),
        ""&lt;&lt;FIELD&gt;&gt;""=""DataSourceCoverageStatus"",""• Data Source \""""+data_source_category+""\"" is missing data."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionWarmStatus"",""• Index \""""+index+""\"" has only ""+'Retention Warm'+"" months warm retention."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionColdStatus"",""• Index \""""+index+""\"" has only ""+'Retention Cold'+"" months cold retention.""
        ))
        ]
| rename DataSourceCoverageStatus AS ""Data Coverage"", RetentionWarmStatus AS ""Warm Retention"", RetentionColdStatus AS ""Cold Retention"", data_source_category AS ""Data Source"", StatusComment AS ""Comment"", count as ""Number of Events""
| table sourcetype, ""Number of Events"", ""Data Coverage"" ""Warm Retention"" ""Cold Retention"" Comment</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""drilldown"">none</option>
      </table>
    </panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#web-server,OMB,Application Level,Web Applications,Web Server - Web server access logs - Data Inventory,Web Server - Web server access logs - Data Inventory,"<panel>
      <table>
        <title>Web Server - Web server access logs - Data Inventory</title>
        <search>
          <query>| tstats count from datamodel=Web_Server_Data_Inventory.Web_Server where nodename=Web_Server.Web_server_access_logs by index, sourcetype
| join index
    [| rest /services/admin/indexes
    | eval frozenTimePeriodInDays=frozenTimePeriodInSecs/60/60/24
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | eval ""Retention Cold""=round(frozenTimePeriodInDays/30,0)
    | eval ""Retention Warm""=round(maxHotSpanDays/30,0)
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | rename title as index
    | table index,""Retention Cold"" ""Retention Warm""]
| eval RetentionWarmStatus=if('Retention Warm'&gt;12,""Good"",""Poor"")
| eval RetentionColdStatus=if('Retention Cold'&gt;(18+12),""Good"",""Poor"")
| eval DataSourceCoverageStatus=if((count &gt; 0), ""Good"",""Poor"")
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| foreach *Status
    [| eval StatusScore=StatusScore+case('&lt;&lt;FIELD&gt;&gt;'=""Good"", 1,'&lt;&lt;FIELD&gt;&gt;'=""Mixed"", 0.5,'&lt;&lt;FIELD&gt;&gt;'=""Poor"",0, 1=1,0)
    | eval StatusScoreMax=StatusScoreMax+1
    | eval StatusComment=mvappend(StatusComment,
        case(
        '&lt;&lt;FIELD&gt;&gt;'=""Good"", null(),
        ""&lt;&lt;FIELD&gt;&gt;""=""DataSourceCoverageStatus"",""• Data Source \""""+data_source_category+""\"" is missing data."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionWarmStatus"",""• Index \""""+index+""\"" has only ""+'Retention Warm'+"" months warm retention."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionColdStatus"",""• Index \""""+index+""\"" has only ""+'Retention Cold'+"" months cold retention.""
        ))
        ]
| rename DataSourceCoverageStatus AS ""Data Coverage"", RetentionWarmStatus AS ""Warm Retention"", RetentionColdStatus AS ""Cold Retention"", data_source_category AS ""Data Source"", StatusComment AS ""Comment"", count as ""Number of Events""
| table sourcetype, ""Number of Events"", ""Data Coverage"" ""Warm Retention"" ""Cold Retention"" Comment</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""drilldown"">none</option>
      </table>
    </panel>"
FALSE,OMB_data_inventory,,OMB,Application Level,Web Application,Database Server - Data Inventory,Database Server - Data Inventory,"<panel>
  <table>
  <title>Database Server - Data Inventory</title>
  <search>
  <query>| tstats count from datamodel=Database_Server_Data_Inventory.DatabaseServer by index, sourcetype
 | join index
  [| rest /services/admin/indexes
  | eval frozenTimePeriodInDays=frozenTimePeriodInSecs/60/60/24
  | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
  | eval ""Retention Cold""=round(frozenTimePeriodInDays/30,0)
  | eval ""Retention Warm""=round(maxHotSpanDays/30,0)
  | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
  | rename title as index
  | table index,""Retention Cold"" ""Retention Warm""]
 | eval RetentionWarmStatus=if('Retention Warm'&gt;12,""Good"",""Poor"")
 | eval RetentionColdStatus=if('Retention Cold'&gt;(18+12),""Good"",""Poor"")
 | eval DataSourceCoverageStatus=if((count &gt; 0), ""Good"",""Poor"")
 | eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
 | eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
 | foreach *Status
  [| eval StatusScore=StatusScore+case('&lt;&lt;FIELD&gt;&gt;'=""Good"", 1,'&lt;&lt;FIELD&gt;&gt;'=""Mixed"", 0.5,'&lt;&lt;FIELD&gt;&gt;'=""Poor"",0, 1=1,0)
  | eval StatusScoreMax=StatusScoreMax+1
  | eval StatusComment=mvappend(StatusComment,
  case(
  '&lt;&lt;FIELD&gt;&gt;'=""Good"", null(),
  ""&lt;&lt;FIELD&gt;&gt;""=""DataSourceCoverageStatus"",""• Data Source \""""+data_source_category+""\"" is missing data."",
  ""&lt;&lt;FIELD&gt;&gt;""=""RetentionWarmStatus"",""• Index \""""+index+""\"" has only ""+'Retention Warm'+"" months warm retention."",
  ""&lt;&lt;FIELD&gt;&gt;""=""RetentionColdStatus"",""• Index \""""+index+""\"" has only ""+'Retention Cold'+"" months cold retention.""
  ))
  ]
 | rename DataSourceCoverageStatus AS ""Data Coverage"", RetentionWarmStatus AS ""Warm Retention"", RetentionColdStatus AS ""Cold Retention"", data_source_category AS ""Data Source"", StatusComment AS ""Comment"", count as ""Number of Events""
 | table sourcetype, ""Number of Events"", ""Data Coverage"" ""Warm Retention"" ""Cold Retention"" Comment</query>
  <earliest>$time_tok.earliest$</earliest>
  <latest>$time_tok.latest$</latest>
  </search>
  <option name=""drilldown"">none</option>
  <option name=""refresh.display"">progressbar</option>
  </table>
  </panel>"
FALSE,OMB_data_inventory,,OMB,Application Level,Web Application,Database Server - Trend of Number of Events,Database Server - Trend of Number of Events,"<panel>
      <chart>
        <title>Database Server - Trend of Number of Events</title>
        <search>
          <query>| tstats count as events from datamodel=Database_Server_Data_Inventory.DatabaseServer by _time
| timechart sum(events)</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""charting.chart"">line</option>
        <option name=""charting.drilldown"">none</option>
        <option name=""refresh.display"">progressbar</option>
      </chart>
    </panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#application-data,OMB,Application Level,Web Application Crashes,Application Data - Application Logs - Trend of Number of Events,Application Data - Application Logs - Trend of Number of Events,"<panel>
  <chart>
        <title>Application Data - Application Logs - Trend of Number of Events</title>
        <search>
          <query>| tstats count as events from datamodel=Application_Data_Inventory.Application_Data  where nodename=Application_Data.Application_Logs by _time
| timechart sum(events)</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""charting.chart"">line</option>
        <option name=""charting.drilldown"">none</option>
        <option name=""refresh.display"">progressbar</option>
  </chart>
</panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#web-server,OMB,Application Level,Web Application Crashes,Web Server - Web server access logs - Trend of Number of Events,Web Server - Web server access logs - Trend of Number of Events," <panel>
  <chart>
	<title>Web Server - Web server access logs - Trend of Number of Events</title>
	<search>
	  <query>| tstats count as events from datamodel=Web_Server_Data_Inventory.Web_Server where nodename=Web_Server.Web_server_access_logs by _time
| timechart sum(events)</query>
	  <earliest>$time_tok.earliest$</earliest>
	  <latest>$time_tok.latest$</latest>
	</search>
	<option name=""charting.chart"">line</option>
	<option name=""charting.drilldown"">none</option>
	<option name=""refresh.display"">progressbar</option>
  </chart>
</panel>"
FALSE,OMB_data_inventory,https://splunk.github.io/Compliance_Essentials/administrationGuide/datasource_guidance#application-data,OMB,Application Level,Web Application Crashes,Application Data - Application Logs - Data Inventory,Application Data - Application Logs - Data Inventory,"<panel>
      <table>
        <title>Application Data - Application Logs - Data Inventory</title>
        <search>
          <query>| tstats count from datamodel=Application_Data_Inventory.Application_Data  where nodename=Application_Data.Application_Logs by index, sourcetype
| join index
    [| rest /services/admin/indexes
    | eval frozenTimePeriodInDays=frozenTimePeriodInSecs/60/60/24
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | eval ""Retention Cold""=round(frozenTimePeriodInDays/30,0)
    | eval ""Retention Warm""=round(maxHotSpanDays/30,0)
    | eval maxHotSpanDays=maxHotSpanSecs/60/60/24
    | rename title as index
    | table index,""Retention Cold"" ""Retention Warm""]
| eval RetentionWarmStatus=if('Retention Warm'&gt;12,""Good"",""Poor"")
| eval RetentionColdStatus=if('Retention Cold'&gt;(18+12),""Good"",""Poor"")
| eval DataSourceCoverageStatus=if((count &gt; 0), ""Good"",""Poor"")
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| eval StatusScore=0,StatusScoreMax=0, StatusComment=""""
| foreach *Status
    [| eval StatusScore=StatusScore+case('&lt;&lt;FIELD&gt;&gt;'=""Good"", 1,'&lt;&lt;FIELD&gt;&gt;'=""Mixed"", 0.5,'&lt;&lt;FIELD&gt;&gt;'=""Poor"",0, 1=1,0)
    | eval StatusScoreMax=StatusScoreMax+1
    | eval StatusComment=mvappend(StatusComment,
        case(
        '&lt;&lt;FIELD&gt;&gt;'=""Good"", null(),
        ""&lt;&lt;FIELD&gt;&gt;""=""DataSourceCoverageStatus"",""• Data Source \""""+data_source_category+""\"" is missing data."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionWarmStatus"",""• Index \""""+index+""\"" has only ""+'Retention Warm'+"" months warm retention."",
        ""&lt;&lt;FIELD&gt;&gt;""=""RetentionColdStatus"",""• Index \""""+index+""\"" has only ""+'Retention Cold'+"" months cold retention.""
        ))
        ]
| rename DataSourceCoverageStatus AS ""Data Coverage"", RetentionWarmStatus AS ""Warm Retention"", RetentionColdStatus AS ""Cold Retention"", data_source_category AS ""Data Source"", StatusComment AS ""Comment"", count as ""Number of Events""
| table sourcetype, ""Number of Events"", ""Data Coverage"" ""Warm Retention"" ""Cold Retention"" Comment</query>
          <earliest>$time_tok.earliest$</earliest>
          <latest>$time_tok.latest$</latest>
        </search>
        <option name=""drilldown"">none</option>
      </table>
    </panel>"
